Video,Frame,Prediction,Actual
efbsmnanjr.mp4,0,real,real
efbsmnanjr.mp4,1,fake,real
efbsmnanjr.mp4,2,real,real
efbsmnanjr.mp4,3,real,real
efbsmnanjr.mp4,4,real,real
efbsmnanjr.mp4,5,real,real
efbsmnanjr.mp4,6,real,real
efbsmnanjr.mp4,7,real,real
efbsmnanjr.mp4,8,real,real
efbsmnanjr.mp4,9,fake,real
efbsmnanjr.mp4,10,real,real
nwywllzwgc.mp4,0,real,real
nwywllzwgc.mp4,1,real,real
nwywllzwgc.mp4,2,real,real
nwywllzwgc.mp4,3,real,real
nwywllzwgc.mp4,4,real,real
nwywllzwgc.mp4,5,real,real
nwywllzwgc.mp4,6,real,real
nwywllzwgc.mp4,7,real,real
nwywllzwgc.mp4,8,real,real
nwywllzwgc.mp4,9,real,real
nwywllzwgc.mp4,10,real,real
zfrqtzropn.mp4,0,fake,real
zfrqtzropn.mp4,1,real,real
zfrqtzropn.mp4,2,fake,real
zfrqtzropn.mp4,3,fake,real
zfrqtzropn.mp4,4,real,real
zfrqtzropn.mp4,5,real,real
zfrqtzropn.mp4,6,fake,real
zfrqtzropn.mp4,7,fake,real
zfrqtzropn.mp4,8,real,real
zfrqtzropn.mp4,9,fake,real
zfrqtzropn.mp4,10,fake,real
ahdegpidyf.mp4,0,fake,fake
ahdegpidyf.mp4,1,fake,fake
ahdegpidyf.mp4,2,fake,fake
ahdegpidyf.mp4,3,fake,fake
ahdegpidyf.mp4,4,fake,fake
ahdegpidyf.mp4,5,fake,fake
ahdegpidyf.mp4,6,fake,fake
ahdegpidyf.mp4,7,fake,fake
ahdegpidyf.mp4,8,real,fake
ahdegpidyf.mp4,9,real,fake
ahdegpidyf.mp4,10,fake,fake
esnntzzajv.mp4,0,fake,fake
esnntzzajv.mp4,1,fake,fake
esnntzzajv.mp4,2,fake,fake
esnntzzajv.mp4,3,fake,fake
esnntzzajv.mp4,4,fake,fake
esnntzzajv.mp4,5,fake,fake
esnntzzajv.mp4,6,fake,fake
esnntzzajv.mp4,7,fake,fake
esnntzzajv.mp4,8,fake,fake
esnntzzajv.mp4,9,fake,fake
esnntzzajv.mp4,10,fake,fake
laupbbdwmz.mp4,0,fake,fake
laupbbdwmz.mp4,1,fake,fake
laupbbdwmz.mp4,2,fake,fake
laupbbdwmz.mp4,3,fake,fake
laupbbdwmz.mp4,4,fake,fake
laupbbdwmz.mp4,5,fake,fake
laupbbdwmz.mp4,6,fake,fake
laupbbdwmz.mp4,7,fake,fake
laupbbdwmz.mp4,8,fake,fake
laupbbdwmz.mp4,9,fake,fake
laupbbdwmz.mp4,10,fake,fake
Video Face Swap.mov,0,fake,fake
Video Face Swap.mov,1,fake,fake
Video Face Swap.mov,2,fake,fake
Video Face Swap.mov,3,fake,fake
Video Face Swap.mov,4,fake,fake
Video Face Swap.mov,5,fake,fake
Video Face Swap.mov,6,fake,fake
Video Face Swap.mov,7,fake,fake
Video Face Swap.mov,8,fake,fake
Video Face Swap.mov,9,fake,fake
Video Face Swap.mov,10,fake,fake
Video Face Swap.mov,11,fake,fake
zzrmokkxka.mp4,0,fake,fake
zzrmokkxka.mp4,1,fake,fake
zzrmokkxka.mp4,2,fake,fake
zzrmokkxka.mp4,3,fake,fake
zzrmokkxka.mp4,4,fake,fake
zzrmokkxka.mp4,5,fake,fake
zzrmokkxka.mp4,6,real,fake
zzrmokkxka.mp4,7,fake,fake
zzrmokkxka.mp4,8,fake,fake
zzrmokkxka.mp4,9,fake,fake
zzrmokkxka.mp4,10,fake,fake
